business_name,categories,rating,address,price_range,url
Steak 'n Shake,"American (Traditional),Fast Food,Burgers",2.5,"1709 S Neil St , Champaign, IL",$,https://www.yelp.com/biz/steak-n-shake-champaign?osq=Restaurants
Steak 'n Shake,"Burgers,Fast Food,American (Traditional)",2,"2009 Kenyon Rd , Champaign, IL",$,https://www.yelp.com/biz/steak-n-shake-urbana-3?osq=Restaurants
Steak 'n Shake,"Fast Food,Burgers,American (Traditional)",2,"2010 N Prospect Ave , Champaign, IL",$,https://www.yelp.com/biz/steak-n-shake-champaign-2?osq=Restaurants
Sticky Rice,"Laotian,Thai,Noodles",4.5,"415 N Neil St , Champaign, IL",$,https://www.yelp.com/biz/sticky-rice-champaign?osq=Restaurants
Subway,"Sandwiches,Fast Food",0,"2000 N Neil St Spc 714 , Champaign, IL",$,https://www.yelp.com/biz/subway-champaign-4?osq=Restaurants
Subway Restaurants,Sandwiches,1,"100 S High Cross Road , Champaign, IL",$,https://www.yelp.com/biz/subway-restaurants-urbana-2?osq=Restaurants
Subway Restaurants,Sandwiches,0,"1005 B S Purnell Dr , Champaign, IL",,https://www.yelp.com/biz/subway-restaurants-mahomet?osq=Restaurants
Subway Restaurants,Sandwiches,1.5,"104 N Long , Champaign, IL",$,https://www.yelp.com/biz/subway-restaurants-tolono?osq=Restaurants
Subway Restaurants,Sandwiches,2.5,"1101 N. Mattis Dr. , Champaign, IL",$,https://www.yelp.com/biz/subway-restaurants-champaign-2?osq=Restaurants
Subway Restaurants,Sandwiches,2,"1319 Dunlap , Champaign, IL",$,https://www.yelp.com/biz/subway-restaurants-savoy-2?osq=Restaurants
Subway Restaurants,Sandwiches,1.5,"1401 South Neil Street , Champaign, IL",$,https://www.yelp.com/biz/subway-restaurants-champaign-4?osq=Restaurants
Subway Restaurants,"Sandwiches,Fast Food",2.5,"2409 Village Green Pl , Champaign, IL",$,https://www.yelp.com/biz/subway-restaurants-champaign-7?osq=Restaurants
Subway Restaurants,"Sandwiches,Fast Food",5,"2610 N Prospect Ave , Champaign, IL",$,https://www.yelp.com/biz/subway-restaurants-champaign-6?osq=Restaurants
Subway Restaurants,"Sandwiches,Fast Food",3,"2740 Philo Rd , Champaign, IL",$,https://www.yelp.com/biz/subway-restaurants-urbana-6?osq=Restaurants
Subway Restaurants,Sandwiches,3,"4204 W Springfield Avenue , Champaign, IL",$,https://www.yelp.com/biz/subway-restaurants-champaign-3?osq=Restaurants
Subway Restaurants,Sandwiches,2,"45 E University , Champaign, IL",$,https://www.yelp.com/biz/subway-restaurants-champaign-5?osq=Restaurants
Subway Restaurants,Sandwiches,0,"505 S. Dunlap Ave. , Champaign, IL",$,https://www.yelp.com/biz/subway-restaurants-savoy?osq=Restaurants
Subway Restaurants,Sandwiches,2.5,"610 E Daniel St , Champaign, IL",,https://www.yelp.com/biz/subway-restaurants-champaign-9?osq=Restaurants
Subway Restaurants,"Fast Food,Sandwiches",2.5,"616 E Green St , Champaign, IL",$,https://www.yelp.com/biz/subway-restaurants-champaign-8?osq=Restaurants
Subway Restaurants,Sandwiches,2.5,"701 S Gregory Street , Champaign, IL",$,https://www.yelp.com/biz/subway-restaurants-urbana?osq=Restaurants
Subway Restaurants,Sandwiches,2.5,"703 Eastwood Center Dr , Champaign, IL",$,https://www.yelp.com/biz/subway-restaurants-mahomet-2?osq=Restaurants
Subway Restaurants,Sandwiches,2.5,"706 W Marketview Dr , Champaign, IL",$,https://www.yelp.com/biz/subway-restaurants-champaign?osq=Restaurants
Subway Restaurants,"Sandwiches,Fast Food",5,"802 W University Ave , Champaign, IL",$,https://www.yelp.com/biz/subway-restaurants-urbana-5?osq=Restaurants
Sun Singer Wine and Spirits,"Beer, Wine & Spirits,Delis,Wine Bars",4,"1115 W Windsor Rd , Champaign, IL",$$,https://www.yelp.com/biz/sun-singer-wine-and-spirits-champaign?osq=Restaurants
Sunny China Buffet,"Chinese,Buffets",4,"1703 Philo Rd , Champaign, IL",$,https://www.yelp.com/biz/sunny-china-buffet-urbana?osq=Restaurants
Super Niro Gyro,Greek,3.5,"608 West Town Center Blvd , Champaign, IL",$,https://www.yelp.com/biz/super-niro-gyro-champaign?osq=Restaurants
Super Taco,Mexican,3.5,"523 W Town Center Blvd , Champaign, IL",$,https://www.yelp.com/biz/super-taco-champaign-2?osq=Restaurants
Super Wok,American (New),3,"1737 W Kirby Ave , Champaign, IL",$$,https://www.yelp.com/biz/super-wok-champaign?osq=Restaurants
